Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2018-01-01,411.7169494628906,417.57759219862794,410.6986871067041,417.57759219862794,9453202
2018-01-02,412.35052490234375,416.1520458356651,410.2008632391286,413.1877682281493,9499419
2018-01-03,414.0023498535156,419.07103394106554,413.21036135637223,418.6184561383609,13507800
2018-01-04,416.4914245605469,417.17027616366374,414.40964520178295,415.5184170204646,9008932
2018-01-05,417.82647705078125,419.478336221156,416.46880403233155,417.1702830267554,7441284
2018-01-08,420.2250671386719,421.3338389681086,417.9396413398403,419.11629530923517,8827020
2018-01-09,425.8368225097656,427.1718681832176,418.16592896994894,420.04403178102706,14294571
2018-01-10,426.47039794921875,428.755823708789,423.3703563140247,426.7645538839841,11727682
2018-01-11,424.3886413574219,426.6061850970823,423.1440749926081,426.22148941318443,7849171
2018-01-12,429.4799499511719,431.1996914214023,424.61494192980314,426.76460366252957,15071161
2018-01-15,429.54779052734375,433.7792314365787,427.7601972935253,429.9324861982598,11120925
2018-01-16,417.69073486328125,428.89162093578204,416.3556891543544,428.89162093578204,10825151
2018-01-17,418.3921813964844,420.4287059787534,410.4723568631893,419.07103299394726,13204016
2018-01-18,416.21990966796875,420.7002518493195,414.13813024085937,420.4287232832063,9381821
2018-01-19,421.4696350097656,422.872562884745,417.30607593808776,417.71336880853005,9973533
2018-01-22,439.6625671386719,440.9297307341015,425.4069238223735,429.02739555361865,45700733
2018-01-23,444.9801025390625,448.4648095843962,441.2464943212305,441.2464943212305,22526810
2018-01-24,437.3318786621094,444.3012934189644,435.65739201227734,444.3012934189644,14289485
2018-01-25,437.12823486328125,439.888835840835,432.7157443972985,438.03333012797276,13669901
2018-01-29,436.49462890625,442.2873895306296,434.1413208466621,437.26399007538816,9897064
2018-01-30,430.113525390625,437.0829702424225,429.4799285095083,437.0829702424225,9182956
2018-01-31,435.04644775390625,436.4946303623015,426.10836027971584,429.932508546894,12551686
2018-02-01,427.1492614746094,440.16036854803485,423.8682004789661,435.92895751555324,16524809
2018-02-02,409.2730712890625,427.19446930101685,407.7570066629393,423.1440475580816,28965593
2018-02-05,408.2774658203125,412.9614847326487,399.06788008270473,404.5891120910988,19191099
2018-02-06,403.729248046875,406.3993696761686,394.1802212274088,396.8955976193961,24062503
2018-02-07,404.7701416015625,409.7483165952456,402.77887160408926,408.4585256362366,15532284
2018-02-08,409.36358642578125,412.124217373922,403.8423547396194,406.3540845115667,13825894
2018-02-09,406.33148193359375,408.20958476962693,400.9686113675507,402.32631464989856,11580639
2018-02-12,414.3191223144531,415.541030992542,408.2321760929264,408.6621265047384,11877059
2018-02-14,422.53314208984375,426.53830939423443,416.80823339765766,417.71335885385935,22247829
2018-02-15,423.438232421875,428.00908387591386,420.0440046901392,424.3433578029966,13363743
2018-02-16,416.9440002441406,426.58353586672087,415.4957875262106,425.2258326673965,9628162
2018-02-19,419.52362060546875,421.78641919937587,413.4366736575826,416.8082441667067,8941900
2018-02-20,416.8534851074219,420.67763333459305,415.8126255820519,420.42873214374373,8458450
2018-02-21,420.5871276855469,422.0126829109392,417.32869416313457,420.8812836410789,11917390
2018-02-22,418.3243103027344,421.3338424964422,416.3556678072217,417.2607932243637,11196908
2018-02-23,422.8046569824219,424.5017709341495,417.6002084352607,418.79948980763163,10610664
2018-02-26,424.8185729980469,427.624458924229,423.86819276837423,424.9543372865541,8435611
2018-02-27,430.1587829589844,432.55734579221325,424.6601782635128,424.95433421982233,14021366
2018-02-28,431.9916687011719,433.1456953751533,426.85510201730494,428.09963821786357,56650480
2018-03-01,429.2084045410156,434.4128533020627,428.09963264475704,429.8193740475802,8956590
2018-03-05,418.211181640625,430.00037925565226,417.0797823994391,426.7645731964437,12325694
2018-03-06,412.2147216796875,423.6871353304763,409.6125126321515,420.42870207115465,16019726
2018-03-07,402.66571044921875,411.4906304069649,401.8963493124045,411.4906304069649,15853546
2018-03-08,412.48626708984375,413.86659770793057,404.2723165728031,406.24092886837576,13283967
2018-03-09,413.2330322265625,416.06154560826343,412.30527935400266,414.0476481890691,10638527
2018-03-12,421.0169982910156,422.2841919087662,415.2468657160296,416.35563747397276,8315150
2018-03-13,421.718505859375,423.59663882483284,416.9666352056935,421.7411332394379,11148731
2018-03-14,420.45135498046875,421.8090280350946,415.9936401338603,420.33821807676003,14724464
2018-03-15,412.6446533203125,420.6323601394072,411.8300676405029,418.61846289963745,12711836
2018-03-16,407.32708740234375,411.6942924662384,400.9912399107632,411.3774789445758,30814962
2018-03-19,405.2679443359375,410.4271077917204,403.68396732327994,407.7570165442622,12630833
2018-03-20,402.6883544921875,409.11471199473874,401.4438183197413,404.27233159175296,15192983
2018-03-21,405.9015197753906,408.36796465731163,404.27231817773844,404.9737669695923,14715126
2018-03-22,410.9928283691406,412.7125696857105,405.38108702525443,405.4942239263287,22129723
2018-03-23,404.5438537597656,407.3044546345445,402.3715647851339,403.05038620838053,23469999
2018-03-26,407.8022766113281,409.2504591533627,403.910246378827,404.56647061434603,13227705
2018-03-27,407.21392822265625,412.1694754574366,405.9467647416956,410.5629012789293,15179544
2018-03-28,399.4751281738281,405.426309963952,398.2532195280126,405.40368258551314,19160609
2018-04-02,404.1139221191406,407.7344240520768,401.19492944311105,404.13654950096844,12494499
2018-04-03,407.1007995605469,408.07380712332116,400.62918753566163,403.23142689986463,13922126
2018-04-04,404.99639892578125,412.64466505228427,403.7066080192922,409.4314863713202,14214534
2018-04-05,411.0154724121094,411.8300883429895,408.8884381654412,409.6125445717926,8527915
2018-04-06,412.2826232910156,415.67682098686123,409.56727721838746,410.92495025470157,9664888
2018-04-09,414.54541015625,415.90311336469733,412.9840907396914,412.9840907396914,7813897
2018-04-10,415.0206298828125,418.1206716548584,413.7082115981104,415.6315691589106,8455132
2018-04-11,421.2659912109375,422.1258317205857,414.5680747175561,417.17031425870147,13140816
2018-04-12,420.29296875,423.89081296482397,418.2564440366667,420.8133985137897,10822592
2018-04-13,424.8864440917969,426.1762350091925,420.29296494294874,422.10318561942,12616816
2018-04-16,424.0718078613281,425.4068836865617,420.20243529446094,422.89515390443404,8934275
2018-04-17,427.33026123046875,428.66533711835984,423.5966527668503,425.4069036517011,9599816
2018-04-18,424.50177001953125,429.11787645571076,423.1666941573972,427.7828308036974,7360987
2018-04-19,426.4477844238281,427.66969317190063,423.144066054809,424.99957166231053,9802587
2018-04-20,419.9308776855469,426.24409791271637,416.8987483710264,424.5017594573755,7326696
2018-04-23,423.5966796875,427.3755431528901,420.2024817202857,420.8813031876546,7674482
2018-04-24,439.0063171386719,441.56330177175573,423.1440702177649,423.50613851676667,19921115
2018-04-25,439.2099609375,444.3238694010991,436.0646646451338,440.63551601601176,14079382
2018-04-26,441.4049377441406,447.12981643360746,435.47638240680527,440.3414205813456,34096999
2018-04-27,450.88604736328125,457.53867840260875,445.9983821896224,447.9443973070062,25518647
2018-04-30,435.9515686035156,449.21157638146724,434.45810103834333,444.4144507724204,19406069
2018-05-02,440.20562744140625,443.14724732520546,436.74351738612063,437.6260154353087,13381914
2018-05-03,435.18218994140625,442.5589273163519,434.11867286781086,442.5589273163519,8634812
2018-05-04,431.7201232910156,436.5851309953684,429.9324997905613,435.7478876970467,8302649
2018-05-07,439.4362487792969,440.45451107083176,432.80624529958646,433.93764448905637,7683268
2018-05-08,437.6712951660156,444.4144664072618,436.8114244482597,442.3779416268323,10792648
2018-05-09,442.0158386230469,445.45529101405276,435.47634454109885,437.1282037016491,9831044
2018-05-10,444.0297546386719,445.59110434522404,440.90708543568894,443.50932487656877,8781584
2018-05-11,447.69549560546875,448.62321819256533,442.4910471150566,444.07499393729313,8774740
2018-05-14,446.4961853027344,448.9174056184848,442.01584317527096,448.9174056184848,5642499
2018-05-15,443.0340881347656,452.5604867324312,441.9931984745199,444.8895936617513,10501479
2018-05-16,432.71575927734375,440.7939764734843,431.04130276996165,440.7939764734843,18840763
2018-05-17,427.8280944824219,434.4580983300683,426.0857257372894,434.1639423791129,10353948
2018-05-18,422.6236572265625,431.51645981836134,421.7864139026989,427.94124291850426,11440117
2018-05-21,421.49224853515625,423.4608910978211,417.3060622194055,421.2207199637877,14491208
2018-05-22,419.41046142578125,422.6915222337321,418.6184728969322,422.30685676463554,11310073
2018-05-23,412.8483581542969,419.07106933867084,411.44540007854073,419.07106933867084,9991028
2018-05-24,414.4775695800781,416.80825035379166,411.89798760356706,413.6403262332726,11632489
2018-05-25,416.71771240234375,417.89436639998047,413.84397465489985,414.5454234513035,17782410
2018-05-28,416.53668212890625,419.5235869085943,415.49579244250526,418.5732067418699,11369679
2018-05-29,415.20166015625,419.9761584316587,413.8213596924305,417.03453845435445,17878384
2018-05-30,414.5906677246094,417.8038463088288,410.29134469234566,414.0249832256905,13105124
2018-05-31,416.9666442871094,417.3965645176673,413.88922990117453,416.80822241309875,37080158
2018-06-01,421.1302185058594,423.4835265897023,415.6542109509837,416.35568998390926,19174278
2018-06-04,425.79156494140625,427.2171201283984,421.13020370035946,422.4199946038401,12250151
2018-06-05,428.8689880371094,432.1953036810269,425.8594557278159,426.6740716555422,17436812
2018-06-06,431.9237365722656,432.64781270109006,426.60615145061695,428.5747938460961,9164022
2018-06-07,439.5946350097656,441.69904170561824,431.94636933293543,432.1500157467045,14999572
2018-06-08,445.47796630859375,446.4735710683484,434.72962806808914,437.33186750235745,14289325
2018-06-11,444.7085876464844,452.5378726018328,443.0793558653061,446.7224848878841,15018718
2018-06-12,451.2707214355469,452.56051234163476,443.6450826920534,445.0480105012963,16285583
2018-06-13,453.6919250488281,455.2306473976471,447.80865485954877,452.5605257735774,12962502
2018-06-14,456.15838623046875,457.9007247473739,446.8582609096621,451.4064852522708,11997529
2018-06-15,458.98687744140625,463.19569115022864,452.22110925792134,455.27589632498166,24705890
2018-06-18,459.5978698730469,461.81541374317754,455.7284666863276,456.5430826535511,12363932
2018-06-19,450.7729187011719,459.2584281119782,449.6867440115106,458.851105050825,13881382
